municipio_norm,municipio_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
ACEGUA,Aceguá,Pelotas,Bagé,Sudoeste Rio-grandense
AGUA SANTA,Água Santa,Passo Fundo,Tapejara - Sananduva,Noroeste Rio-grandense
AGUDO,Agudo,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense
AJURICABA,Ajuricaba,Ijuí,Ijuí,Noroeste Rio-grandense
ALECRIM,Alecrim,Ijuí,Santa Rosa,Noroeste Rio-grandense
ALEGRETE,Alegrete,Uruguaiana,Uruguaiana,Sudoeste Rio-grandense
ALEGRIA,Alegria,Ijuí,Três de Maio,Noroeste Rio-grandense
ALMIRANTE TAMANDARE DO SUL,Almirante Tamandaré do Sul,Passo Fundo,Carazinho,Noroeste Rio-grandense
ALPESTRE,Alpestre,Passo Fundo,Nonoai,Noroeste Rio-grandense
ALTO ALEGRE,Alto Alegre,Passo Fundo,Passo Fundo,Noroeste Rio-grandense
ALTO FELIZ,Alto Feliz,Caxias do Sul,Caxias do Sul,Metropolitana de Porto Alegre
ALVORADA,Alvorada,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
AMARAL FERRADOR,Amaral Ferrador,Porto Alegre,Camaquã,Sudeste Rio-grandense
AMETISTA DO SUL,Ametista do Sul,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
ANDRE DA ROCHA,André da Rocha,Caxias do Sul,Nova Prata - Guaporé,Nordeste Rio-grandense
ANTA GORDA,Anta Gorda,Santa Cruz do Sul - Lajeado,Encantado,Nordeste Rio-grandense
ANTONIO PRADO,Antônio Prado,Caxias do Sul,Caxias do Sul,Nordeste Rio-grandense
ARAMBARE,Arambaré,Porto Alegre,Camaquã,Metropolitana de Porto Alegre
ARARICA,Araricá,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
ARATIBA,Aratiba,Passo Fundo,Erechim,Noroeste Rio-grandense
ARROIO DO MEIO,Arroio do Meio,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
ARROIO DO SAL,Arroio do Sal,Porto Alegre,Torres,Metropolitana de Porto Alegre
ARROIO DO PADRE,Arroio do Padre,Pelotas,Pelotas,Sudeste Rio-grandense
ARROIO DOS RATOS,Arroio dos Ratos,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
ARROIO DO TIGRE,Arroio do Tigre,Santa Cruz do Sul - Lajeado,Sobradinho,Centro Oriental Rio-grandense
ARROIO GRANDE,Arroio Grande,Pelotas,Pelotas,Sudeste Rio-grandense
ARVOREZINHA,Arvorezinha,Passo Fundo,Soledade,Nordeste Rio-grandense
AUGUSTO PESTANA,Augusto Pestana,Ijuí,Ijuí,Noroeste Rio-grandense
AUREA,Áurea,Passo Fundo,Erechim,Noroeste Rio-grandense
BAGE,Bagé,Pelotas,Bagé,Sudoeste Rio-grandense
BALNEARIO PINHAL,Balneário Pinhal,Porto Alegre,Tramandaí - Osório,Metropolitana de Porto Alegre
BARAO,Barão,Caxias do Sul,Bento Gonçalves,Metropolitana de Porto Alegre
BARAO DE COTEGIPE,Barão de Cotegipe,Passo Fundo,Erechim,Noroeste Rio-grandense
BARAO DO TRIUNFO,Barão do Triunfo,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
BARRACAO,Barracão,Passo Fundo,Lagoa Vermelha,Noroeste Rio-grandense
BARRA DO GUARITA,Barra do Guarita,Ijuí,Três Passos,Noroeste Rio-grandense
BARRA DO QUARAI,Barra do Quaraí,Uruguaiana,Uruguaiana,Sudoeste Rio-grandense
BARRA DO RIBEIRO,Barra do Ribeiro,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre
BARRA DO RIO AZUL,Barra do Rio Azul,Passo Fundo,Erechim,Noroeste Rio-grandense
BARRA FUNDA,Barra Funda,Passo Fundo,Carazinho,Noroeste Rio-grandense
BARROS CASSAL,Barros Cassal,Passo Fundo,Soledade,Noroeste Rio-grandense
BENJAMIN CONSTANT DO SUL,Benjamin Constant do Sul,Passo Fundo,Erechim,Noroeste Rio-grandense
BENTO GONCALVES,Bento Gonçalves,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
BOA VISTA DAS MISSOES,Boa Vista das Missões,Passo Fundo,Frederico Westphalen,Noroeste Rio-grandense
BOA VISTA DO BURICA,Boa Vista do Buricá,Ijuí,Três de Maio,Noroeste Rio-grandense
BOA VISTA DO CADEADO,Boa Vista do Cadeado,Passo Fundo,Cruz Alta,Noroeste Rio-grandense
BOA VISTA DO INCRA,Boa Vista do Incra,Passo Fundo,Cruz Alta,Noroeste Rio-grandense
BOA VISTA DO SUL,Boa Vista do Sul,Caxias do Sul,Bento Gonçalves,Nordeste Rio-grandense
BOM JESUS,Bom Jesus,Caxias do Sul,Vacaria,Nordeste Rio-grandense
BOM PRINCIPIO,Bom Princípio,Porto Alegre,Novo Hamburgo - São Leopoldo,Metropolitana de Porto Alegre
BOM PROGRESSO,Bom Progresso,Ijuí,Três Passos,Noroeste Rio-grandense
BOM RETIRO DO SUL,Bom Retiro do Sul,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
BOQUEIRAO DO LEAO,Boqueirão do Leão,Santa Cruz do Sul - Lajeado,Lajeado,Centro Oriental Rio-grandense
BOSSOROCA,Bossoroca,Ijuí,São Luiz Gonzaga,Noroeste Rio-grandense
BOZANO,Bozano,Ijuí,Ijuí,Noroeste Rio-grandense
BRAGA,Braga,Ijuí,Três Passos,Noroeste Rio-grandense
BROCHIER,Brochier,Porto Alegre,Montenegro,Metropolitana de Porto Alegre
BUTIA,Butiá,Porto Alegre,Charqueadas - Triunfo - São Jerônimo,Metropolitana de Porto Alegre
